date,cases,recovered,deaths,tests
26/02/2020,1,0,0,0
27/02/2020,1,0,0,8
28/02/2020,3,1,0,17
29/02/2020,3,1,0,351
1/3/2020,3,1,0,413
2/3/2020,3,1,0,475
3/3/2020,4,1,0,535
4/3/2020,6,1,0,595
5/3/2020,6,1,0,657
6/3/2020,9,3,0,734
7/3/2020,13,4,0,809
8/3/2020,15,5,0,948
9/3/2020,17,5,0,1010
10/3/2020,29,5,0,1150
11/3/2020,47,7,0,1650
12/3/2020,59,7,0,2151
13/03/2020,95,7,0,2652
14/03/2020,123,9,0,2929
15/03/2020,139,9,0,3205
16/03/2020,168,9,0,3708
17/03/2020,217,19,0,4150
18/03/2020,260,19,0,4670
19/03/2020,277,25,0,4973
20/03/2020,308,31,0,8284
21/03/2020,367,52,0,8915
22/03/2020,433,64,2,9967
23/03/2020,576,73,5,11223
24/03/2020,762,79,8,12624
25/03/2020,906,86,13,14466
26/03/2020,1029,94,17,15998
27/03/2020,1292,115,24,17453
28/03/2020,1452,139,29,19663
29/03/2020,1760,169,38,21460
30/03/2020,1952,180,44,23103
31/03/2020,2245,220,69,24654
1/4/2020,2460,252,85,26609
2/4/2020,2738,267,94,28483
3/4/2020,3183,283,116,31657
4/4/2020,3613,329,141,36092
5/4/2020,3864,374,148,38623
6/4/2020,4057,406,157,40987
7/4/2020,4417,460,182,43578
8/4/2020,4761,528,209,47207
9/4/2020,5202,647,229,51802
10/4/2020,5467,729,257,55430
11/4/2020,5990,758,282,59272
12/4/2020,6300,852,306,62328
13/04/2020,6633,914,318,67204
14/04/2020,6879,1051,332,70097
15/04/2020,7216,1217,362,74827
16/04/2020,7707,1357,387,79629
17/04/2020,8067,1508,400,85805
18/04/2020,8418,1730,417,90991
19/04/2020,8746,1892,434,93611
20/04/2020,8936,2017,451,98491
21/04/2020,9242,2153,482,101552
22/04/2020,9710,2406,508,106357
23/04/2020,10096,2478,527,113336
24/04/2020,10417,2817,552,121602
25/04/2020,10635,2890,575,126645
26/04/2020,11036,3054,608,136518
27/04/2020,11339,3141,631,143834
28/04/2020,11616,3404,650,150309
29/04/2020,11978,3569,675,166993
30/04/2020,12240,4017,695,175374
1/5/2020,12567,4328,726,183688
2/5/2020,12732,4547,755,190540
3/5/2020,13163,4869,780,195508
4/5/2020,13512,5269,803,199068
5/5/2020,13837,5454,827,205842
6/5/2020,14107,5788,858,217139
7/5/2020,14499,6144,876,226613
8/5/2020,14811,6423,898,237280
9/5/2020,15131,6912,926,248056
10/5/2020,15362,7051,952,256749
11/5/2020,15588,7245,972,262219
12/5/2020,15778,7685,991,269183
13/05/2020,16002,7961,1016,277804
14/05/2020,16247,9053,1046,286217
15/05/2020,16437,9370,1056,294601
